,Audio,Class
1932,"[-1.32656912e-03 -6.35435991e-03 -6.14679279e-03 ... -4.13926318e-06
  4.86625917e-03  1.18004605e-02]",dog_bark
1933,"[-0.00201428 -0.00380056 -0.00435082 ...  0.00353659  0.02204133
  0.        ]",street_music
1934,"[-0.00430937 -0.00588163 -0.00568338 ...  0.00282058  0.00278612
  0.00353338]",gun_shot
1935,"[ 0.0048742   0.00366886  0.00578684 ... -0.00318292  0.00151691
  0.00947657]",children_playing
1936,"[ 0.00853414  0.0118501  -0.00253875 ...  0.00909865  0.03278348
  0.00528849]",gun_shot
1937,[0.06609676 0.08742754 0.0409525  ... 0.01013851 0.00488832 0.00548242],car_horn
1938,"[-0.0307043  -0.0499438  -0.03345241 ... -0.02011475  0.0094382
  0.03776336]",children_playing
1939,"[-0.01788405 -0.02593823 -0.02322374 ...  0.0174184   0.01671239
  0.01783782]",drilling
1940,[0.00120766 0.00803297 0.00039348 ... 0.0216335  0.00928928 0.02136186],car_horn
1941,"[ 0.04394669  0.05150355  0.02099967 ... -0.0208678  -0.0232381
 -0.02231391]",drilling
1942,"[ 3.1529842e-03  6.2230541e-03  6.1776198e-05 ... -1.5778275e-02
 -3.1625056e-03  1.9077352e-03]",dog_bark
1943,"[ 0.00974665 -0.06234505 -0.09768265 ...  0.03866499  0.03212681
  0.03756186]",gun_shot
1944,"[-0.04740938 -0.0746886  -0.05252947 ... -0.01173198  0.00178003
 -0.0046856 ]",engine_idling
1945,"[-3.7252903e-09  3.7252903e-09  4.6566129e-09 ...  1.7183313e-01
  3.1636137e-01  4.8258579e-01]",air_conditioner
1946,"[ 0.05965537 -0.08515333  0.03196273 ...  0.03746141  0.09448394
 -0.02069048]",jackhammer
1947,"[ 0.00986614  0.01580507  0.01720576 ... -0.02567977 -0.02545916
 -0.03362339]",air_conditioner
1948,"[ 0.00241187  0.00505746  0.00615819 ... -0.00239256 -0.00295632
 -0.0094489 ]",air_conditioner
1949,"[ 0.00026398  0.00066694  0.00067705 ... -0.11850221 -0.01351408
  0.17067087]",air_conditioner
1950,"[-0.02531421 -0.13493186 -0.25918007 ... -0.04505085 -0.03789648
 -0.02853302]",gun_shot
1951,"[-0.0243916  -0.07845845 -0.01550107 ...  0.05180185  0.06061638
 -0.02697767]",children_playing
1952,"[ 0.01021607  0.01419515 -0.00047302 ...  0.00462262 -0.02076755
 -0.04130137]",street_music
1953,"[-0.01758716 -0.01599474  0.00059459 ...  0.00135852 -0.00061511
 -0.00062091]",gun_shot
1954,"[ 0.01530039  0.06494115  0.11013646 ... -0.09899447 -0.10676844
 -0.03934363]",gun_shot
1955,"[ 0.16721727  0.24485686  0.19868219 ... -0.00065711 -0.00092611
 -0.00175856]",dog_bark
1956,[0.00374331 0.00623357 0.00478351 ... 0.00013837 0.00029518 0.00012188],children_playing
1957,[0.00284456 0.00242054 0.00539399 ... 0.03981192 0.04437895 0.04736693],engine_idling
1958,"[-0.01590877 -0.01782399 -0.01313636 ... -0.04266948 -0.02620332
 -0.02608823]",air_conditioner
1959,[0.00645722 0.00813234 0.00486521 ... 0.01139136 0.00978303 0.00913385],jackhammer
1960,"[ 0.00728116  0.0051201  -0.01064788 ...  0.0042478  -0.00236979
 -0.01408533]",engine_idling
1961,"[ 0.04392249  0.05339037  0.01596006 ... -0.08701748 -0.04160476
  0.02538165]",car_horn
1962,"[-0.00474845 -0.00732757 -0.00808412 ... -0.00357329 -0.0055765
 -0.00407165]",drilling
1963,"[-0.00164008 -0.00405595 -0.00369619 ... -0.00108602 -0.00060099
 -0.00030633]",air_conditioner
1964,"[-0.055174   -0.08182456 -0.07143385 ...  0.04379574  0.03811356
  0.02897648]",air_conditioner
1965,"[-0.09522787 -0.13671264 -0.1025473  ... -0.1975869  -0.20030911
 -0.18941924]",street_music
1966,"[ 0.01380524  0.02581044 -0.01003115 ...  0.07467638  0.02172117
  0.00797007]",children_playing
1967,"[ 0.04918331  0.06351309  0.05009898 ... -0.02711954 -0.0263858
 -0.03367786]",jackhammer
1968,"[-0.03767801  0.08702215  0.17948583 ... -0.04384296 -0.0255427
  0.01517429]",jackhammer
1969,"[ 0.03047719  0.05064187  0.05034325 ...  0.04441623 -0.01933463
 -0.00526461]",car_horn
1970,"[-3.9791272e-09  3.6704537e-10  1.4604905e-10 ...  9.4496563e-02
  1.0154933e-01  8.0829009e-02]",children_playing
1971,"[-0.00200514  0.00718274  0.00112496 ... -0.01666328 -0.01682144
 -0.01833784]",dog_bark
1972,"[ 0.00218172  0.0021852  -0.00141123 ...  0.00017241 -0.00403196
 -0.00992259]",jackhammer
1973,"[ 0.02785816  0.03012544  0.01314996 ... -0.01350781 -0.0126839
 -0.02093293]",engine_idling
1974,"[-0.01489958 -0.0227956  -0.01487037 ... -0.00095275 -0.00085408
 -0.00137631]",gun_shot
1975,"[1.4491679e-05 2.3833687e-05 3.7438294e-06 ... 5.8071496e-04 5.1072519e-04
 5.2932184e-04]",street_music
1976,[0.0433119  0.05477475 0.02939349 ... 0.01312323 0.01274046 0.01441571],jackhammer
1977,"[-0.07447144 -0.0205444   0.0702317  ...  0.01009292 -0.05180273
 -0.05253184]",dog_bark
1978,[0.00686543 0.01101071 0.01337187 ... 0.00876477 0.00654277 0.00524531],dog_bark
1979,"[ 0.04374436 -0.03488391 -0.02439439 ... -0.05413692 -0.00149354
 -0.01114419]",dog_bark
1980,"[-0.01279867 -0.03846947 -0.05453153 ...  0.09617189  0.08189449
  0.0479135 ]",jackhammer
1981,[0.02157432 0.02860288 0.01251075 ... 0.12631759 0.12170628 0.13746788],air_conditioner
1982,"[-0.01094793 -0.01629189 -0.01154301 ... -0.00161347 -0.0019551
 -0.00325166]",dog_bark
1983,"[ 0.00274057  0.00363865  0.00230643 ... -0.00752703 -0.00462696
  0.00097316]",street_music
1984,"[-0.07178759 -0.08071149 -0.04790332 ...  0.01492697  0.00261481
  0.00464236]",car_horn
1985,"[-0.00108068 -0.02938134 -0.00540918 ...  0.01165389 -0.0081766
  0.00054703]",car_horn
1986,"[-0.19480109 -0.28150028 -0.1347194  ... -0.00380077 -0.03466732
 -0.04873735]",gun_shot
1987,[0.01234834 0.07245215 0.17025608 ... 0.18059868 0.25223213 0.30501568],jackhammer
1988,"[ 0.00172069  0.0053024   0.00433823 ... -0.00485501 -0.00436592
 -0.00362196]",gun_shot
1989,"[-0.1414625  -0.22978517 -0.23446362 ...  0.14487305  0.0495388
  0.03723393]",air_conditioner
1990,"[-0.03069928  0.00794749  0.04748626 ...  0.03527081  0.04438212
  0.06974681]",air_conditioner
1991,"[-0.06136087 -0.08348301 -0.06685982 ...  0.00877601  0.01185833
  0.01669154]",siren
1992,"[ 0.0004011   0.00058996  0.00055928 ... -0.00043914 -0.00108304
 -0.0003607 ]",air_conditioner
1993,"[-0.04730043 -0.02278155 -0.00885735 ... -0.0045726   0.00845843
 -0.02754524]",street_music
1994,"[ 0.00201652 -0.00115559 -0.00978046 ... -0.09869254 -0.09167448
 -0.09360518]",drilling
1995,"[ 0.01635163  0.01778193  0.01216425 ... -0.0122914  -0.00706552
 -0.00110097]",siren
1996,[0.00322501 0.006352   0.00596231 ... 0.02080855 0.02370824 0.02171447],siren
1997,"[-0.02346685 -0.03309141 -0.02521248 ...  0.00072064  0.00052185
 -0.00154886]",children_playing
1998,"[ 0.01266119  0.00688233 -0.0190638  ...  0.00165993 -0.00083091
 -0.00235272]",air_conditioner
1999,"[4.3867849e-06 2.4758036e-05 2.6087440e-05 ... 3.3397046e-05 3.5191399e-05
 4.1600237e-05]",street_music
2000,"[-0.00539823 -0.00690787 -0.00401506 ...  0.00435649  0.00463652
  0.00172647]",car_horn
2001,[0.00439583 0.00761953 0.00952427 ... 0.08678308 0.08340406 0.08892328],jackhammer
2002,"[-0.01370676 -0.02177291 -0.02044739 ...  0.06004342  0.05386062
  0.05979454]",siren
2003,"[-0.05121515 -0.01821029  0.02063807 ...  0.08606424 -0.02598483
  0.00634153]",engine_idling
2004,"[-0.04956608 -0.04360267 -0.00298564 ... -0.0266609  -0.00869255
 -0.00088968]",car_horn
2005,"[-6.06430694e-05 -1.67552335e-03 -3.59791145e-03 ... -1.49672050e-02
 -1.17622083e-02 -1.12356115e-02]",street_music
2006,"[-0.00420268 -0.00627184 -0.00566654 ...  0.00042878  0.00025887
  0.0002437 ]",gun_shot
2007,"[ 0.16669741  0.24187084  0.21274798 ... -0.06999651 -0.0671526
 -0.07286437]",children_playing
2008,"[-0.00930048 -0.01331084 -0.0104363  ...  0.00730948  0.00829689
  0.0099856 ]",car_horn
2009,"[ 0.17919073  0.23130235  0.13825251 ... -0.01119565 -0.01877819
 -0.00863706]",gun_shot
2010,"[-0.00144973 -0.00271652 -0.00740962 ...  0.00721804  0.01024694
  0.01103802]",street_music
2011,[0.003604   0.00436735 0.00270261 ... 0.00357248 0.00347164 0.00301436],street_music
2012,"[-0.02048181 -0.03031164 -0.0297652  ... -0.04015838 -0.03930756
 -0.043322  ]",air_conditioner
2013,"[-0.00506388 -0.02096143 -0.03342237 ... -0.00781875  0.00393408
  0.00830662]",jackhammer
2014,"[-0.00337744 -0.0046611  -0.00329663 ... -0.00440544  0.00058932
  0.        ]",street_music
2015,"[ 0.00404905  0.03999665  0.06515067 ... -0.02707265 -0.02149502
 -0.02414098]",children_playing
2016,"[ 0.00307865 -0.00152168 -0.00283788 ...  0.00460554  0.00347663
  0.00218705]",car_horn
2017,"[ 0.00140444  0.00754132  0.01007839 ... -0.01311551 -0.01254825
 -0.01397795]",street_music
2018,"[-0.01939439 -0.03042809 -0.02937872 ...  0.00423643  0.00727834
  0.00876078]",drilling
2019,"[-0.07330663 -0.12077434 -0.07395829 ...  0.03853913  0.02614437
  0.012625  ]",dog_bark
2020,"[-0.04336974  0.04422558  0.02166151 ...  0.02735635  0.03049714
  0.02140503]",engine_idling
2021,"[-0.02890144 -0.09741813 -0.15334775 ... -0.01747794 -0.03399152
 -0.04745936]",drilling
2022,"[-0.00373409 -0.00713021 -0.0077517  ... -0.00968975 -0.00918379
 -0.00875985]",children_playing
2023,[0.00022185 0.00032131 0.00021449 ... 0.05486559 0.05279173 0.04907516],air_conditioner
2024,"[ 0.03517035  0.01798994 -0.07841633 ... -0.00304025  0.09544089
  0.12100081]",street_music
2025,"[ 0.01195778  0.0204563   0.02065327 ... -0.08548683 -0.09247597
 -0.10029183]",gun_shot
2026,"[ 0.18655099  0.41037583  0.52104014 ... -0.5480719  -0.5216093
 -0.31682724]",children_playing
2027,"[ 0.00720216  0.0067111   0.00825735 ... -0.1043251  -0.07983766
 -0.05247625]",air_conditioner
2028,"[ 0.00518295 -0.0088381  -0.02641629 ... -0.0154791  -0.00571425
 -0.03668284]",children_playing
2029,"[9.1287824e-05 3.2913190e-04 2.3955300e-04 ... 2.0565845e-02 1.6716959e-02
 1.1029277e-02]",car_horn
2030,"[-1.0477379e-09 -1.2805685e-09  1.7462298e-09 ...  2.1317925e-02
  1.4362166e-02 -7.5284196e-03]",street_music
2031,"[-0.00310032 -0.00791103  0.00103343 ... -0.02923484 -0.02747629
 -0.02535522]",street_music
2032,"[ 0.18881513  0.23379457  0.11320835 ... -0.04692181  0.03614771
  0.06253783]",drilling
2033,"[ 0.07298674  0.09384576  0.04200054 ... -0.05653416 -0.1246361
 -0.14719966]",car_horn
2034,[0.00161391 0.00212051 0.00163516 ... 0.00295242 0.00341349 0.00233679],dog_bark
2035,"[-0.00994861 -0.00312687  0.0131591  ... -0.0066728  -0.00876447
 -0.01087685]",engine_idling
2036,"[-0.21139121 -0.25079566 -0.16583763 ... -0.09704971 -0.14126998
 -0.16411734]",engine_idling
2037,[0.0252162  0.03630409 0.02977401 ... 0.00783411 0.00788143 0.00844951],air_conditioner
2038,"[-0.00176567 -0.00141646 -0.00109924 ... -0.00215622 -0.00366389
 -0.00695783]",engine_idling
2039,"[ 0.01116233  0.01808932  0.01532043 ... -0.0876675  -0.10189101
 -0.1181799 ]",street_music
2040,"[-0.01258251 -0.02309761 -0.02129978 ... -0.02039236 -0.01865067
 -0.02145799]",air_conditioner
2041,"[-0.02506949 -0.03848196 -0.02020979 ... -0.054949   -0.05494247
 -0.04984837]",street_music
2042,"[-0.04885038 -0.07138092 -0.06848041 ... -0.11971163 -0.10279812
 -0.10986699]",gun_shot
2043,"[-0.03583485 -0.04187905 -0.01521064 ... -0.01555072  0.01242564
  0.033663  ]",dog_bark
2044,"[-0.000628    0.00102186  0.00187556 ... -0.00723031 -0.00577807
  0.0036526 ]",engine_idling
2045,"[ 0.01656104  0.05808362  0.09571388 ... -0.04355634 -0.03603446
 -0.02981204]",street_music
2046,[0.00534051 0.00910448 0.00959794 ... 0.01965447 0.01834957 0.02081565],car_horn
2047,"[-0.02169388 -0.04498924 -0.04201446 ... -0.0913499  -0.07146041
 -0.04994478]",children_playing
2048,"[-0.00108247  0.00030763  0.00356442 ... -0.03241006 -0.04078379
 -0.04061852]",dog_bark
2049,"[ 0.16703093  0.29433674  0.29900175 ... -0.04245869 -0.04306582
 -0.01728994]",engine_idling
2050,"[-0.41197404 -0.6236128  -0.48457336 ...  0.0148258   0.01580778
  0.01747429]",street_music
2051,"[-0.09989844 -0.12816852 -0.06527183 ... -0.05988424 -0.0508288
 -0.03574345]",jackhammer
2052,"[-0.02140605 -0.0317269  -0.0253493  ...  0.01493257  0.01313411
  0.01422581]",jackhammer
2053,"[ 0.02680527  0.02842486  0.01343197 ... -0.06558425 -0.04466465
 -0.03285042]",children_playing
2054,"[ 0.18133983  0.26197702  0.22469881 ... -0.00452691 -0.00616412
 -0.01030584]",children_playing
2055,"[ 0.14523089  0.14997427  0.11921699 ... -0.12666866 -0.208841
 -0.17050263]",engine_idling
2056,"[-0.00580798 -0.00979117 -0.0087623  ... -0.00233064 -0.00250086
 -0.00310479]",street_music
2057,"[ 0.00763262  0.01406737  0.00916087 ...  0.0027576  -0.00032044
  0.00137867]",street_music
2058,[0.06977084 0.07508884 0.01856207 ... 0.0329046  0.03344177 0.02030786],engine_idling
2059,"[-0.09592292 -0.25208008 -0.3310619  ... -0.07893108 -0.09620859
 -0.15196943]",dog_bark
2060,"[ 0.00621817  0.0080037   0.00613645 ... -0.00267473  0.00262521
 -0.00044473]",air_conditioner
2061,[0.02744417 0.03789803 0.02718255 ... 0.03059602 0.02094145 0.01615832],dog_bark
2062,"[-0.17139417 -0.25310248 -0.22601332 ...  0.2100169   0.20427486
  0.22162278]",children_playing
2063,"[-6.8134218e-01 -1.0283735e+00 -9.2949414e-01 ... -8.9545604e-03
 -3.6073292e-03 -3.1853720e-04]",gun_shot
2064,"[ 0.07444359  0.11402923  0.115563   ... -0.00099864  0.00943037
  0.02079175]",gun_shot
2065,"[-0.1090441  -0.11761242 -0.04828658 ...  0.00306484  0.00046414
  0.00160914]",dog_bark
2066,"[ 0.02313715  0.1672151   0.19678685 ... -0.0937468  -0.05899424
  0.02169797]",air_conditioner
2067,"[-0.04236698 -0.01862208 -0.15014414 ...  0.0442354   0.05708015
 -0.016376  ]",air_conditioner
2068,"[ 0.00468202 -0.02215209  0.0027418  ...  0.04073735  0.06750497
  0.09365709]",drilling
2069,"[ 0.04362214  0.0580511   0.03051272 ...  0.10698622 -0.01668387
 -0.10859764]",siren
2070,"[-1.9649747e-03  6.7953602e-05  5.9032021e-03 ... -1.5238947e-03
 -4.5015868e-03  3.5208161e-03]",street_music
2071,"[6.0185412e-04 5.3679757e-04 1.8387915e-05 ... 1.9320082e-03 1.9223118e-03
 1.8347859e-03]",children_playing
2072,"[-0.11040904 -0.16515464 -0.13911188 ...  0.03972548  0.02873763
  0.02167499]",drilling
2073,"[-3.8225885e-02 -4.6638146e-02 -2.2958551e-02 ...  4.4362559e-03
 -6.3308980e-05 -1.5066098e-04]",car_horn
2074,"[-0.01366651 -0.00340178 -0.00479007 ...  0.01337282  0.00760459
 -0.00190578]",car_horn
2075,"[ 0.16690296  0.24435924  0.2105022  ... -0.06787202 -0.04976384
 -0.03346523]",engine_idling
2076,[0.02504351 0.02569111 0.02749594 ... 0.08682611 0.09871748 0.10102098],air_conditioner
2077,"[ 0.00251722 -0.00967987  0.01386421 ... -0.0136068  -0.00949371
 -0.00627709]",children_playing
2078,"[-0.00027054 -0.00121026 -0.00128086 ...  0.00544772 -0.00203259
 -0.00168298]",car_horn
2079,"[-0.00499777 -0.0018701   0.0056479  ... -0.01534109  0.01584258
  0.04712126]",children_playing
2080,"[ 0.06703776 -0.0077389  -0.0309545  ...  0.00197934 -0.03606969
 -0.05252784]",jackhammer
2081,"[-0.00488203 -0.01865332 -0.0068175  ...  0.13912748  0.1363282
  0.14894886]",street_music
2082,"[ 0.01241826 -0.03525618 -0.07500206 ...  0.03695404  0.04050219
 -0.0035707 ]",children_playing
2083,"[-0.00182576 -0.00547792 -0.00428083 ... -0.00208178 -0.00226419
 -0.00156059]",street_music
2084,"[ 0.01008307 -0.01105845 -0.01234149 ...  0.0173592  -0.07526946
  0.00484251]",engine_idling
2085,"[-0.00751494 -0.01230614 -0.01296417 ...  0.00158155  0.0042688
  0.00659771]",dog_bark
2086,"[-0.00533488 -0.00848855 -0.00777109 ... -0.01347377 -0.01359071
 -0.01226591]",street_music
2087,[0.00751291 0.0145896  0.01003809 ... 0.02163618 0.02166241 0.01818339],drilling
2088,"[ 2.6785161e-05  3.8885883e-05 -1.2095121e-04 ...  1.1952352e-03
  1.6201574e-02  9.3330462e-03]",drilling
2089,"[-0.00290084 -0.00316055 -0.00418519 ... -0.03509547 -0.02108905
 -0.01118454]",children_playing
2090,[0.00682091 0.01127842 0.01184222 ... 0.03438729 0.03222709 0.03408437],siren
2091,"[-0.00722956 -0.00521967 -0.01074394 ...  0.00065311 -0.00073259
 -0.00889759]",drilling
2092,[0.02308396 0.03389692 0.02578556 ... 0.02902211 0.02839633 0.0320024 ],dog_bark
2093,"[ 0.00522387  0.00746108  0.00976871 ... -0.19036031 -0.09690002
 -0.03361896]",jackhammer
2094,"[-0.00012487 -0.00100263 -0.00224845 ...  0.00742808  0.00154186
 -0.00026732]",dog_bark
2095,"[ 0.05395981  0.02487098 -0.02108276 ...  0.0174534   0.0371308
 -0.00491552]",street_music
2096,"[-0.00992182 -0.01629451 -0.01522785 ...  0.00294784  0.00356162
  0.0045124 ]",car_horn
2097,"[-0.00213559 -0.00906025 -0.00532377 ...  0.01101146 -0.00584811
 -0.04439829]",street_music
2098,"[ 0.00339819  0.00339527  0.00188528 ... -0.00128041 -0.00065483
  0.00016943]",jackhammer
2099,"[-0.08874086 -0.12644298 -0.10488646 ...  0.03529248 -0.05913255
 -0.0501258 ]",siren
2100,"[-0.01444303 -0.01860014 -0.01179902 ...  0.06243964  0.05890783
  0.06012158]",air_conditioner
2101,"[-0.00314252 -0.0001821   0.00609017 ... -0.01565993 -0.01175254
 -0.00454748]",car_horn
2102,"[-0.06290355 -0.5669089  -0.33828598 ... -0.70372784 -0.6268999
 -0.5809922 ]",children_playing
2103,"[ 0.1360593   0.1832429   0.1438914  ... -0.30528158 -0.334685
 -0.3490238 ]",children_playing
2104,"[ 0.00093483  0.0019769   0.00145819 ...  0.00056408 -0.0002517
 -0.00161832]",car_horn
2105,"[ 0.00810744  0.0149976   0.01574672 ...  0.00915809  0.0032321
 -0.00477078]",engine_idling
2106,"[ 0.03326788  0.05009425  0.0330839  ... -0.01181366 -0.0204453
 -0.03429532]",street_music
2107,[0.07285805 0.11590758 0.11432566 ... 0.08722773 0.07173774 0.06517942],engine_idling
2108,"[-0.03901596 -0.0539376  -0.04199668 ... -0.01493982 -0.01534398
 -0.03219578]",air_conditioner
2109,"[ 0.00671314  0.01295297 -0.00256958 ...  0.00622145  0.0052206
 -0.00026016]",siren
2110,[0.06740358 0.09739047 0.0843529  ... 0.14944088 0.12483911 0.10341898],dog_bark
2111,"[-0.02637461 -0.06119555 -0.07923029 ...  0.13844177  0.07027072
 -0.01089054]",drilling
2112,"[-0.00348238 -0.00707054 -0.00435668 ... -0.02354748 -0.00518126
 -0.00681098]",gun_shot
2113,[0.02581709 0.03352146 0.0239675  ... 0.03689083 0.03426805 0.03814777],air_conditioner
2114,[0.01951308 0.03178831 0.03347248 ... 0.01165292 0.01165816 0.00324249],jackhammer
2115,"[-0.0024838  -0.00224135 -0.00123449 ...  0.01654289 -0.00453201
 -0.01402926]",drilling
2116,"[ 0.01308472  0.01955987  0.0140527  ... -0.01303739 -0.01087178
 -0.01210006]",children_playing
2117,"[ 1.9598003e-05  2.4020612e-05 -8.4513181e-07 ...  3.2563234e-04
  3.2321073e-04  3.6395274e-04]",dog_bark
2118,"[-0.03776686 -0.06478143 -0.05013326 ... -0.03771631 -0.01806772
  0.0024747 ]",siren
2119,"[ 0.11114805 -0.06475172 -0.1136485  ... -0.0312489  -0.0179566
  0.02598435]",drilling
2120,"[-0.0760961  -0.13565302 -0.14311972 ... -0.00488498 -0.00470743
 -0.00176412]",gun_shot
2121,"[ 0.0095352   0.02178345  0.0443932  ... -0.05703132 -0.04842089
 -0.05421969]",dog_bark
2122,"[-0.05885702 -0.06446938 -0.016488   ... -0.14003868 -0.17936151
 -0.1879853 ]",car_horn
2123,"[-0.00326291  0.00106436  0.01130156 ... -0.00821087 -0.00710986
  0.00251485]",siren
2124,"[ 0.01146574  0.01021839  0.01293191 ... -0.01342842 -0.00379483
  0.00229381]",air_conditioner
2125,"[ 0.01831849  0.02538399  0.01661906 ...  0.00333723 -0.01739605
 -0.02367335]",jackhammer
2126,"[ 0.00469822  0.00733587  0.00658726 ...  0.00016562 -0.00020625
 -0.00025658]",children_playing
2127,"[ 0.03174346  0.04623814  0.0369468  ... -0.05469636 -0.04587969
 -0.04344234]",children_playing
2128,"[-0.05799957 -0.06624971 -0.03582843 ... -0.14394242 -0.17387965
 -0.19499683]",car_horn
2129,"[-0.05437699 -0.07732397 -0.06480895 ...  0.02382816  0.01950568
  0.01730155]",air_conditioner
2130,[0.1090956  0.15538019 0.10934646 ... 0.08696315 0.12479402 0.13300413],engine_idling
2131,"[ 0.04021151  0.08033866  0.1029728  ... -0.18659821 -0.19907713
 -0.2517919 ]",children_playing
2132,"[ 0.0085064   0.01337061  0.01079543 ... -0.0303472  -0.03144613
 -0.03435925]",air_conditioner
2133,[0.09181178 0.12468743 0.10365458 ... 0.03858736 0.03024918 0.01432874],car_horn
2134,"[ 0.00978504  0.00741315 -0.00256784 ... -0.0021686  -0.00170813
 -0.00042477]",car_horn
2135,"[-0.00104143 -0.00133782 -0.00107953 ...  0.0046535   0.00288332
  0.00299775]",street_music
2136,"[-0.01032706 -0.01038962  0.00117574 ...  0.0387627   0.0389632
  0.05123449]",siren
2137,"[ 2.4547339e-03  4.8262016e-03  7.1879127e-03 ... -1.7593357e-04
 -1.0035553e-03  4.4449800e-05]",car_horn
2138,"[-0.00757119 -0.01834228 -0.01251755 ...  0.01719381  0.01585644
  0.0127268 ]",siren
2139,"[ 0.04534502  0.06945854  0.06015112 ... -0.14394888 -0.13812649
 -0.14995816]",air_conditioner
2140,[0.01601156 0.02487706 0.02211284 ... 0.0251248  0.02583354 0.02448937],engine_idling
2141,"[ 0.0325296   0.04707584  0.04104567 ... -0.1026765  -0.09863777
 -0.10414624]",car_horn
2142,"[-0.05927713  0.03921364  0.23966625 ... -0.0045836  -0.03095802
 -0.04927029]",engine_idling
2143,[0.00335076 0.0106959  0.01302986 ... 0.02476308 0.02774709 0.03193665],car_horn
2144,"[-0.05117666 -0.21314558 -0.29039323 ... -0.11058561 -0.08786929
 -0.06766726]",dog_bark
2145,"[-0.01027344 -0.00741016  0.00494253 ...  0.1114874   0.10167815
  0.10138346]",jackhammer
2146,"[ 0.00210039  0.00302022  0.00354574 ... -0.18024278 -0.233396
 -0.14539751]",street_music
2147,"[ 0.01960509  0.02758892 -0.01588335 ... -0.00311071 -0.00136097
  0.01646461]",air_conditioner
2148,"[ 0.01123267  0.02510774  0.01288627 ...  0.06456582  0.01298007
 -0.03832383]",dog_bark
2149,"[-0.00488159  0.0085398  -0.00943203 ... -0.00196742 -0.00444356
 -0.00554807]",drilling
2150,[0.01887031 0.02886632 0.02186995 ... 0.01375853 0.04393626 0.08075782],drilling
2151,"[-0.00844052  0.00024751  0.00764636 ... -0.02644502 -0.03121652
 -0.00824488]",street_music
2152,"[ 0.04374512  0.0337579   0.01324308 ... -0.01576618 -0.02243311
 -0.0165625 ]",street_music
2153,[0.00048711 0.06096973 0.04670686 ... 0.20616108 0.19744319 0.15786192],car_horn
2154,"[ 7.4624168e-03  1.1212726e-02  7.4280719e-03 ... -3.3923570e-06
 -1.8757446e-03 -2.2152886e-03]",siren
2155,"[ 0.0036723   0.00930285  0.00990127 ... -0.01704615 -0.00607048
  0.0119673 ]",street_music
2156,"[-0.19541615 -0.30721244 -0.2747761  ...  0.12286668  0.11694303
  0.12223696]",drilling
2157,"[ 0.14519662  0.14633082  0.07958014 ... -0.14201266 -0.08451992
 -0.03317223]",street_music
2158,[0.00520726 0.00780354 0.00591772 ... 0.00615256 0.00526025 0.00556312],air_conditioner
2159,[0.03929242 0.07164171 0.08980423 ... 0.06836446 0.06604978 0.06969132],siren
2160,"[ 0.01252675  0.01392331 -0.0004372  ... -0.16698974 -0.15800588
 -0.17421862]",siren
2161,"[-0.00675458 -0.00494472  0.00682596 ...  0.03128503  0.0374473
  0.03505217]",drilling
2162,"[-0.02273157 -0.0320072  -0.02857988 ...  0.01043277  0.0114991
  0.01452   ]",siren
2163,"[ 0.12762831  0.4185967  -0.18278658 ... -0.01161229 -0.01019043
 -0.02627888]",jackhammer
2164,"[-0.02369735 -0.0421777  -0.04883611 ... -0.0579696  -0.06348543
 -0.05952553]",siren
2165,"[ 0.0000000e+00  7.2759576e-12 -1.8189894e-12 ... -2.1407623e-02
 -1.7040635e-02 -1.6041942e-02]",air_conditioner
2166,[0.02501098 0.02503488 0.00417945 ... 0.07236148 0.09355675 0.1289401 ],air_conditioner
2167,"[ 0.00266603  0.00436134  0.00388673 ... -0.00012514 -0.00123944
 -0.00202135]",car_horn
2168,[0.06560859 0.10360105 0.12165621 ... 0.06019786 0.0381055  0.02345908],siren
2169,"[ 0.0585083   0.06346001  0.0021713  ...  0.05546538  0.08393119
 -0.01138151]",dog_bark
2170,"[ 0.09653625  0.14016515  0.11678039 ... -0.07324515 -0.04878677
 -0.03897104]",street_music
2171,[0.0093692  0.00944418 0.00447411 ... 0.00515516 0.00644324 0.00900684],jackhammer
2172,"[ 0.03891639  0.06867838 -0.01019578 ... -0.16365649 -0.164078
 -0.13932797]",dog_bark
2173,"[ 0.04757811  0.02803589  0.07675417 ... -0.00327441  0.00204151
  0.00960128]",children_playing
2174,"[-0.00709327 -0.04984473 -0.01754994 ...  0.011388    0.01902907
  0.03599258]",street_music
2175,"[ 0.1304175   0.23955183  0.29031837 ... -0.00146795 -0.00121803
 -0.00103916]",air_conditioner
2176,[0.07164972 0.17118399 0.09644225 ... 0.29092547 0.23526016 0.15614712],children_playing
2177,"[-0.0002869   0.00072164  0.00524044 ... -0.00155899 -0.00122779
 -0.00031448]",car_horn
2178,"[-0.00115049  0.01505109  0.04302696 ...  0.01661645  0.01336276
  0.00428317]",gun_shot
2179,"[-2.6411054e-04 -2.9074898e-04 -3.4786467e-04 ... -1.1986465e-04
 -3.4426819e-05 -1.4515579e-05]",car_horn
2180,"[ 0.00038579  0.00059405  0.00065481 ... -0.00101139 -0.01413493
 -0.01064056]",street_music
2181,"[ 0.06331789  0.13120216  0.1438675  ... -0.0694201  -0.0647966
 -0.05345362]",drilling
2182,"[ 0.00040385 -0.00567284 -0.00608782 ... -0.00101231  0.00415168
  0.00018676]",engine_idling
2183,"[ 0.03395629  0.09047267  0.10273343 ... -0.03827331  0.09515118
  0.20307618]",drilling
